,OBJECTID,FOD_ID,FPA_ID,SOURCE_SYSTEM_TYPE,SOURCE_SYSTEM,NWCG_REPORTING_AGENCY,NWCG_REPORTING_UNIT_ID,NWCG_REPORTING_UNIT_NAME,SOURCE_REPORTING_UNIT,SOURCE_REPORTING_UNIT_NAME,COMPLEX_NAME,FIRE_YEAR,DISCOVERY_DATE,DISCOVERY_DOY,DISCOVERY_TIME,NWCG_CAUSE_CLASSIFICATION,NWCG_GENERAL_CAUSE,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,OWNER_DESCR,STATE,COUNTY,FIPS_CODE,FIPS_NAME,WEEK_BEFORE_DISCOVERY_DATE,max_temp,min_temp,precipitation,wind_speed,wind_gusts,wind_direction
447,216039,219220,W-26784,FED,DOI-WFMI,BLM,USCACDD,California Desert District,CACDD,California Desert District,,1994,1994-05-26,146,1530.0,Human,Missing data/not specified/undetermined,1012.0,F,35.7999,-117.9676,BLM,CA,,,,1994-05-19,74.5875,47.0875,0.01525,8.8125,26.2875,201.125
448,216072,219254,W-26860,FED,DOI-WFMI,BLM,USCACDD,California Desert District,CACDD,California Desert District,,1994,1994-06-27,178,1840.0,Human,Missing data/not specified/undetermined,2047.0,F,33.8167,-116.9009,BLM,CA,,,,1994-06-20,96.675,73.6875,0.0025,8.5875,27.45,258.875
449,216075,219257,W-26863,FED,DOI-WFMI,BLM,USCACDD,California Desert District,CACDD,California Desert District,,1994,1994-06-28,179,1600.0,Natural,Natural,9497.0,G,34.5333,-115.2008,BLM,CA,,,,1994-06-21,101.725,74.0875,0.0,11.1625,24.9625,250.5
450,216109,219295,W-26944,FED,DOI-WFMI,BLM,USCACDD,California Desert District,CACDD,California Desert District,,1994,1994-07-24,205,1401.0,Human,Arson/incendiarism,2990.0,F,33.9167,-117.1009,BLM,CA,,,,1994-07-17,87.45,67.1625,0.0,7.2375,18.1375,234.75
451,216123,219309,W-26980,FED,DOI-WFMI,BLM,USCACDD,California Desert District,CACDD,California Desert District,,1994,1994-08-13,225,1916.0,Natural,Natural,2036.0,F,35.1333,-117.1342,BLM,CA,,,,1994-08-06,100.025,74.4625,0.0015,15.575,26.5375,225.0
452,216144,219330,W-27036,FED,DOI-WFMI,BLM,USCACDD,California Desert District,CACDD,California Desert District,,1994,1994-10-09,282,1200.0,Human,Misuse of fire by a minor,1648.0,F,32.5834,-116.9175,BLM,CA,,,,1994-10-02,74.3375,58.0125,0.025125,11.162500000000001,19.25,214.875
453,216188,219377,W-21955,FED,DOI-WFMI,BLM,USCACDD,California Desert District,CACDD,California Desert District,,1995,1995-06-23,174,1242.0,Human,Missing data/not specified/undetermined,1300.0,F,33.9333,-116.7175,BLM,CA,,,,1995-06-16,86.7125,60.9375,0.0935,7.625,23.275000000000002,240.875
454,216204,219394,W-22027,FED,DOI-WFMI,BLM,USCACDD,California Desert District,CACDD,California Desert District,,1995,1995-07-20,201,1407.0,Human,Misuse of fire by a minor,4591.0,F,33.75,-117.4175,BLM,CA,,,,1995-07-13,88.525,63.8625,0.002,5.7875,18.2375,220.625
455,216209,219399,W-22038,FED,DOI-WFMI,BLM,USCACDD,California Desert District,CACDD,California Desert District,,1995,1995-07-23,204,448.0,Human,Missing data/not specified/undetermined,1335.0,F,33.65,-115.5175,BLM,CA,,,,1995-07-16,101.82499999999999,76.8875,0.0,9.4375,23.3375,241.125
456,216214,219405,W-22059,FED,DOI-WFMI,BLM,USCACDD,California Desert District,CACDD,California Desert District,,1995,1995-07-29,210,1546.0,Human,Missing data/not specified/undetermined,1650.0,F,32.9667,-115.9842,BLM,CA,,,,1995-07-22,106.8,75.275,0.0,6.5625,22.3,260.375
457,216215,219406,W-22061,FED,DOI-WFMI,BLM,USCACDD,California Desert District,CACDD,California Desert District,,1995,1995-07-30,211,130.0,Natural,Natural,1985.0,F,34.9833,-118.4865,BLM,CA,,,,1995-07-23,89.2,60.8375,0.007375,6.175,20.9125,288.0
458,216233,219427,W-22138,FED,DOI-WFMI,BLM,USCACDD,California Desert District,CACDD,California Desert District,,1995,1995-08-30,242,1107.0,Human,Smoking,9410.0,G,32.6167,-116.7842,BLM,CA,,,,1995-08-23,87.9875,68.7375,0.0,9.9375,23.425,316.75
459,216293,219490,W-15096,FED,DOI-WFMI,BLM,USCACDD,California Desert District,CACDD,California Desert District,,1996,1996-04-15,106,1021.0,Human,Recreation and ceremony,1402.0,F,32.5848,-116.8347,BLM,CA,,,,1996-04-08,70.4125,49.45,0.004875,10.4125,24.925,173.5
460,216388,219586,W-14625,FED,DOI-WFMI,BLM,USCACDD,California Desert District,CACDD,California Desert District,,1996,1996-04-29,120,815.0,Human,Recreation and ceremony,1220.0,F,32.5848,-116.8347,BLM,CA,,,,1996-04-22,81.85,56.85,0.0,9.4875,23.95,127.0
461,216389,219587,W-14390,FED,DOI-WFMI,BLM,USCACDD,California Desert District,CACDD,California Desert District,,1996,1996-05-03,124,442.0,Human,Recreation and ceremony,1250.0,F,34.5833,-117.0342,BLM,CA,,,,1996-04-26,84.3625,57.4375,0.0,11.2375,26.7375,129.25
462,216590,219795,W-14825,FED,DOI-WFMI,BLM,USCACDD,California Desert District,CACDD,California Desert District,,1996,1996-07-20,202,1302.0,Human,Recreation and ceremony,1780.0,F,32.5848,-116.8347,BLM,CA,,,,1996-07-13,83.375,63.6375,0.0,7.8375,20.525,186.125
463,216592,219797,W-14832,FED,DOI-WFMI,BLM,USCACDD,California Desert District,CACDD,California Desert District,,1996,1996-07-23,205,1202.0,Human,Missing data/not specified/undetermined,7150.0,G,34.9777,-118.4526,BLM,CA,,,,1996-07-16,84.5125,59.4875,0.0,5.1625,18.1625,184.25
464,216628,219834,W-14893,FED,DOI-WFMI,BLM,USCACDD,California Desert District,CACDD,California Desert District,,1996,1996-08-12,225,1418.0,Human,Debris and open burning,12395.0,G,33.8692,-116.9011,BLM,CA,,,,1996-08-05,92.2,67.25,0.0075,5.675,20.375,250.375
465,216850,220068,W-9964,FED,DOI-WFMI,BLM,USCACDD,California Desert District,CACDD,California Desert District,,1997,1997-09-04,247,1113.0,Human,Arson/incendiarism,1141.0,F,33.4506,-117.2845,BLM,CA,,,,1997-08-28,85.0125,68.77499999999999,0.01625,8.1125,16.6875,230.625
466,216858,220077,W-9975,FED,DOI-WFMI,BLM,USCACDD,California Desert District,CACDD,California Desert District,,1997,1997-09-24,267,1244.0,Human,Arson/incendiarism,1230.0,F,33.1,-117.1342,BLM,CA,,,,1997-09-17,86.05,63.762499999999996,0.0,7.7625,19.3,201.75
467,216859,220078,W-9974,FED,DOI-WFMI,BLM,USCACDD,California Desert District,CACDD,California Desert District,,1997,1997-09-24,267,2102.0,Human,Arson/incendiarism,4000.0,F,33.9333,-117.0342,BLM,CA,,,,1997-09-17,88.0125,63.5125,0.0,7.825,21.85,180.0
468,217046,220272,W-5134,FED,DOI-WFMI,BLM,USCACDD,California Desert District,CACDD,California Desert District,,1998,1998-07-01,182,1357.0,Human,Debris and open burning,2103.0,F,36.7666,-121.5011,BLM,CA,,,,1998-06-24,67.6,47.15,0.0,8.2,21.475,301.5
469,217164,220394,W-5202,FED,DOI-WFMI,BLM,USCACDD,California Desert District,CACDD,California Desert District,,1998,1998-08-01,213,1400.0,Human,Missing data/not specified/undetermined,1373.0,F,35.3722,-117.8112,BLM,CA,,,,1998-07-25,100.175,67.5375,0.0,16.0625,26.8125,262.25
470,217182,220415,W-5214,FED,DOI-WFMI,BLM,USCACDD,California Desert District,CACDD,California Desert District,,1998,1998-08-09,221,1241.0,Human,Arson/incendiarism,1243.0,F,34.2667,-117.5009,STATE,CA,,,,1998-08-02,94.0,65.3,0.0025,7.65,20.825000000000003,169.5
471,217251,220487,W-5258,FED,DOI-WFMI,BLM,USCACDD,California Desert District,CACDD,California Desert District,,1998,1998-08-31,243,1824.0,Natural,Natural,6000.0,G,33.7833,-117.9342,STATE,CA,,,,1998-08-24,91.825,69.3875,0.0,10.025,18.4625,227.625
472,217720,220980,W-2783,FED,DOI-WFMI,BLM,USCACDD,California Desert District,CACDD,California Desert District,,1999,1999-08-21,233,1130.0,Human,Debris and open burning,1106.0,F,32.6167,-116.5008,BLM,CA,San Diego,6073.0,San Diego County,1999-08-14,90.9,67.725,0.0,9.475,22.9875,269.125
473,217735,220999,W-3580,FED,DOI-WFMI,BLM,USCACDD,California Desert District,CACDD,California Desert District,,1999,1999-08-29,241,1544.0,Human,Debris and open burning,3600.0,F,34.5333,-118.2029,BLM,CA,Los Angeles,6037.0,Los Angeles County,1999-08-22,89.9375,66.325,0.026625,8.7625,24.325,214.5
474,217763,221030,W-91298,FED,DOI-WFMI,BLM,USCACDD,California Desert District,CACDD,California Desert District,,1999,1999-10-03,276,1406.0,Human,Debris and open burning,3880.0,F,32.6164,-116.4361,BLM,CA,San Diego,6073.0,San Diego County,1999-09-26,87.5875,64.225,0.0,10.0125,24.900000000000002,185.75
475,217767,221034,W-561276,FED,DOI-WFMI,BLM,USCACDD,California Desert District,CACDD,California Desert District,,1999,1999-10-08,281,1240.0,Human,Recreation and ceremony,1000.0,F,32.597311,-116.4279,BLM,CA,San Diego,6073.0,San Diego County,1999-10-01,83.5625,60.2375,0.0,11.6625,29.925,202.125
476,217768,221035,W-91301,FED,DOI-WFMI,BLM,USCACDD,California Desert District,CACDD,California Desert District,,1999,1999-10-08,281,1330.0,Human,Debris and open burning,1250.0,F,32.6001,-116.4342,BLM,CA,San Diego,6073.0,San Diego County,1999-10-01,84.3375,61.0,0.0,10.525,25.75,216.5
477,218153,221441,W-5407,FED,DOI-WFMI,BLM,USCANOD,Northern California District,CANOD,Northern California District,,1998,1998-08-29,241,1721.0,Human,Arson/incendiarism,6600.0,G,38.9182,-122.3094,BLM,CA,,,,1998-08-22,92.8125,63.137499999999996,0.0,5.9125,19.75,224.0
478,218420,221715,W-91299,FED,DOI-WFMI,BLM,USCANOD,Northern California District,CANOD,Northern California District,,1999,1999-07-02,183,1338.0,Human,Debris and open burning,2000.0,F,40.6882,-122.8545,BLM,CA,Trinity,6105.0,Trinity County,1999-06-25,91.9,58.0625,0.0,7.1625,22.15,311.5
479,218461,221757,W-562017,FED,DOI-WFMI,BLM,USCANOD,Northern California District,CANOD,Northern California District,,1999,1999-07-11,192,1652.0,Human,Equipment and vehicle use,1200.0,F,39.90725,-122.618531,PRIVATE,CA,Tehama,6103.0,Tehama County,1999-07-04,97.0625,63.125,0.0,10.45,24.8375,218.375
480,218527,221832,W-3422,FED,DOI-WFMI,BLM,USCANOD,Northern California District,CANOD,Northern California District,BUCKHORN COMPLEX,1999,1999-08-04,216,1251.0,Natural,Natural,4820.0,F,40.7799,-120.06438,BLM,CA,Lassen,6035.0,Lassen County,1999-07-28,82.55,55.475,0.0035,8.9,21.975,268.375
481,218637,221958,W-562030,FED,DOI-WFMI,BLM,USCANOD,Northern California District,CANOD,Northern California District,,1999,1999-08-23,235,707.0,Natural,Natural,5021.0,G,40.309011,-122.113769,BLM,CA,Tehama,6103.0,Tehama County,1999-08-16,95.3,62.0875,0.0,9.6125,22.3625,198.625
482,218640,221962,W-4406,FED,DOI-WFMI,BLM,USCANOD,Northern California District,CANOD,Northern California District,BUTTE RANGER UNIT COMPLEX,1999,1999-08-23,235,734.0,Natural,Natural,10857.0,G,39.73488,-121.7361,BLM,CA,Butte,6007.0,Butte County,1999-08-16,94.8875,62.6625,0.0,8.7875,21.2125,196.375
483,218648,221971,W-4412,FED,DOI-WFMI,BLM,USCANOD,Northern California District,CANOD,Northern California District,BUTTE RANGER UNIT COMPLEX,1999,1999-08-23,235,838.0,Natural,Natural,1572.0,F,39.53322,-121.41941,BLM,CA,Butte,6007.0,Butte County,1999-08-16,90.95,60.15,0.0,6.8375,19.4375,178.875
484,218658,221983,W-4360,FED,DOI-WFMI,BLM,USCANOD,Northern California District,CANOD,Northern California District,,1999,1999-08-23,235,1330.0,Human,Missing data/not specified/undetermined,7700.0,G,40.55989,-120.6444,BLM,CA,Lassen,6035.0,Lassen County,1999-08-16,84.97500000000001,57.55,0.008375,9.075,28.825,213.125
485,218681,222008,W-4410,FED,DOI-WFMI,BLM,USCANOD,Northern California District,CANOD,Northern California District,BUTTE RANGER UNIT COMPLEX,1999,1999-08-23,235,1526.0,Natural,Natural,2590.0,F,39.64822,-121.47441,BLM,CA,Butte,6007.0,Butte County,1999-08-16,89.925,59.25,0.0015,7.7,23.9375,117.5
486,218773,222109,W-91090,FED,DOI-WFMI,BLM,USCANOD,Northern California District,CANOD,Northern California District,,1999,1999-09-25,268,1445.0,Human,Missing data/not specified/undetermined,2928.0,F,41.63718,-120.42458,BLM,CA,Modoc,6049.0,Modoc County,1999-09-18,78.4875,53.5375,0.0,8.1875,17.725,109.75
487,218777,222113,W-561783,FED,DOI-WFMI,BLM,USCANOD,Northern California District,CANOD,Northern California District,,1999,1999-09-26,269,1047.0,Human,Equipment and vehicle use,2580.0,F,40.495539,-122.399281,PRIVATE,CA,Shasta,6089.0,Shasta County,1999-09-19,93.1625,62.175,0.0,9.2375,21.0375,229.625
488,218784,222120,W-91778,FED,DOI-WFMI,BLM,USCANOD,Northern California District,CANOD,Northern California District,,1999,1999-09-28,271,1158.0,Human,Missing data/not specified/undetermined,3500.0,F,38.88779,-122.25396,BLM,CA,Yolo,6113.0,Yolo County,1999-09-21,90.425,66.2125,0.002,8.7125,23.575,234.5
489,218800,222137,W-92046,FED,DOI-WFMI,BLM,USCANOD,Northern California District,CANOD,Northern California District,,1999,1999-10-16,289,350.0,Human,Arson/incendiarism,40000.0,G,38.9616,-122.3461,PRIVATE,CA,,,,1999-10-09,85.22500000000001,60.4125,0.0,6.3,19.337500000000002,156.625
490,219021,222367,W-27131,FED,DOI-WFMI,BLM,USCANOD,Northern California District,CASUD,Susanville District,,1994,1994-07-23,204,1630.0,Natural,Natural,1550.0,F,41.2666,-120.4011,BLM,CA,,,,1994-07-16,92.2625,65.225,0.010875,9.825,24.1625,239.625
491,219038,222385,W-27167,FED,DOI-WFMI,BLM,USCANOD,Northern California District,CASUD,Susanville District,,1994,1994-08-31,243,1552.0,Human,Equipment and vehicle use,2570.0,F,41.2666,-120.5011,BLM,CA,,,,1994-08-24,85.2625,55.625,0.0,12.15,25.1875,208.125
492,219045,222393,W-27183,FED,DOI-WFMI,BLM,USCANOD,Northern California District,CASUD,Susanville District,,1994,1994-09-18,261,1401.0,Natural,Natural,1025.0,F,40.7666,-120.6344,BLM,CA,,,,1994-09-11,66.0875,43.8375,0.025625000000000002,9.675,23.4125,201.25
493,219119,222467,W-15166,FED,DOI-WFMI,BLM,USCANOD,Northern California District,CASUD,Susanville District,,1996,1996-07-02,184,1802.0,Human,Equipment and vehicle use,1034.0,F,40.3332,-120.4844,BLM,CA,,,,1996-06-25,76.5625,55.6,0.038875,9.95,21.8375,221.5
494,219237,222593,W-27264,FED,DOI-WFMI,BLM,USCACND,Central California District,CAUKD,Ukiah District,,1994,1994-07-01,182,1100.0,Human,Arson/incendiarism,1000.0,F,39.7999,-121.5344,STATE,CA,,,,1994-06-24,92.375,61.45,0.0,8.7375,27.425,167.5
495,219251,222607,W-22352,FED,DOI-WFMI,BLM,USCACND,Central California District,CAUKD,Ukiah District,,1995,1995-10-04,277,1317.0,Human,Arson/incendiarism,2540.0,F,39.2082,-123.0844,PRIVATE,CA,,,,1995-09-27,79.4875,52.075,0.0,8.2,27.8125,244.375
496,243045,247679,W-205108,FED,DOI-WFMI,NPS,USCAJTP,Joshua Tree National Monument,CAJTP,Joshua Tree National Monument,,1995,1995-07-31,212,1430.0,Natural,Natural,5521.0,G,34.05841,-116.30474,NPS,CA,,,,1995-07-24,98.0125,70.0875,0.0015,7.8125,19.4625,236.875
497,243079,247713,W-205254,FED,DOI-WFMI,NPS,USCAJTP,Joshua Tree National Monument,CAJTP,Joshua Tree National Monument,JUNIPER COMPLEX,1999,1999-05-27,147,1230.0,Natural,Natural,14000.0,G,34.00251,-116.29584,NPS,CA,,,,1999-05-20,75.075,49.8625,0.007875,8.1625,20.1625,266.75
498,243151,247789,W-213334,FED,DOI-WFMI,NPS,USCAKNP,Sequoia & Kings Canyon National Parks,CAKNP,Sequoia & Kings Canyon National Park,,1993,1993-06-22,173,1330.0,Natural,Natural,2170.0,F,36.82665,-118.57781,NPS,CA,,,,1993-06-15,68.71249999999999,46.45,0.007875,4.55,23.7375,168.125
499,243274,247914,W-213647,FED,DOI-WFMI,NPS,USCAKNP,Sequoia & Kings Canyon National Parks,CAKNP,Sequoia & Kings Canyon National Park,,1995,1995-11-09,313,1230.0,Human,Debris and open burning,1600.0,F,36.52757,-118.70271,NPS,CA,,,,1995-11-02,59.45,39.15,0.0015,4.9125,18.625,206.25
500,243277,247917,W-213684,FED,DOI-WFMI,NPS,USCAKNP,Sequoia & Kings Canyon National Parks,CAKNP,Sequoia & Kings Canyon National Park,,1996,1996-06-27,179,1500.0,Natural,Natural,1400.0,F,36.63995,-118.79593,NPS,CA,,,,1996-06-20,61.35,41.8875,0.091,6.9,30.4875,223.625
501,243285,247925,W-213698,FED,DOI-WFMI,NPS,USCAKNP,Sequoia & Kings Canyon National Parks,CAKNP,Sequoia & Kings Canyon National Park,CASTLE COMPLEX,1996,1996-07-11,193,1400.0,Natural,Natural,1100.0,F,36.52798,-118.67297,NPS,CA,,,,1996-07-04,78.3,56.5625,0.093625,5.275,20.6625,182.75
502,243304,247944,W-213723,FED,DOI-WFMI,NPS,USCAKNP,Sequoia & Kings Canyon National Parks,CAKNP,Sequoia & Kings Canyon National Park,CASTLE COMPLEX,1996,1996-07-26,208,800.0,Natural,Natural,1460.0,F,36.52828,-118.6726,NPS,CA,,,,1996-07-19,79.9375,56.45,0.0335,5.4125,19.9375,178.375
503,243308,247948,W-213733,FED,DOI-WFMI,NPS,USCAKNP,Sequoia & Kings Canyon National Parks,CAKNP,Sequoia & Kings Canyon National Park,,1996,1996-08-02,215,1502.0,Natural,Natural,3500.0,F,36.44827,-118.45759,NPS,CA,,,,1996-07-26,78.75,57.625,0.096125,3.9499999999999997,17.912499999999998,195.125
504,243448,248093,W-207985,FED,DOI-WFMI,NPS,USCALNP,Lassen Volcanic National Park,CALNP,Lassen Volcanic National Park,,1997,1997-07-30,211,1630.0,Natural,Natural,1100.0,F,40.50132,-121.29579,NPS,CA,,,,1997-07-23,75.1625,52.9625,0.063375,7.025,22.675,230.0
505,243450,248095,W-207988,FED,DOI-WFMI,NPS,USCALNP,Lassen Volcanic National Park,CALNP,Lassen Volcanic National Park,,1997,1997-08-07,219,1730.0,Natural,Natural,1190.0,F,40.50132,-121.29579,NPS,CA,,,,1997-07-31,78.6375,52.3625,0.0,8.4,26.15,216.875
506,243580,248367,W-209229,FED,DOI-WFMI,NPS,USCAPIP,Pinnacles National Park,CAPIP,Pinnacles National Monument,,1994,1994-08-05,217,1404.0,Human,Equipment and vehicle use,1154.0,F,36.4831,-121.1914,NPS,CA,,,,1994-07-29,85.1875,54.5625,0.0,7.575,20.775000000000002,293.125
507,243583,248370,W-209243,FED,DOI-WFMI,NPS,USCAPIP,Pinnacles National Park,CAPIP,Pinnacles National Monument,,1998,1998-08-03,215,1510.0,Human,Power generation/transmission/distribution,2797.0,F,36.4517,-121.1992,NPS,CA,,,,1998-07-27,86.1125,59.3125,0.0,8.6125,20.6125,283.375
508,243594,248381,W-221647,FED,DOI-WFMI,NPS,USCARNP,Point Reyes National Seashore,CARNP,Point Reyes National Seashore,,1995,1995-10-03,276,1327.0,Human,Recreation and ceremony,12354.0,G,38.0831,-122.875,NPS,CA,,,,1995-09-26,69.0,53.512499999999996,0.0,8.625,24.2,290.0
509,243681,248472,W-221956,FED,DOI-WFMI,NPS,USCASMP,Santa Monica Mountains National Recreation Area,CASMP,Santa Monica Mountains National Recreation Area,,1993,1993-10-26,299,1430.0,Human,Arson/incendiarism,38152.0,G,34.1667,-118.8676,OTHER FEDERAL,CA,,,,1993-10-19,78.5125,53.725,0.0,6.675,18.0625,92.75
510,243695,248486,W-221990,FED,DOI-WFMI,NPS,USCASMP,Santa Monica Mountains National Recreation Area,CASMP,Santa Monica Mountains National Recreation Area,,1996,1996-10-21,295,1035.0,Human,Power generation/transmission/distribution,13190.0,G,34.1333,-118.6843,STATE,CA,,,,1996-10-14,74.8625,54.15,0.003875,7.4875,20.6125,162.5
511,243979,248772,W-219895,FED,DOI-WFMI,NPS,USCAYNP,Yosemite National Park,CAYNP,Yosemite National Park,,1994,1994-08-09,221,1600.0,Natural,Natural,3560.0,F,37.6663,-119.51638,NPS,CA,,,,1994-08-02,78.725,51.8375,0.0005,10.2875,30.925,222.0
512,244208,249003,W-220417,FED,DOI-WFMI,NPS,USCAYNP,Yosemite National Park,CAYNP,Yosemite National Park,SOUTH PARK COMPLEX,1999,1999-07-11,192,1338.0,Natural,Natural,2299.0,F,37.6288,-119.5835,NPS,CA,,,,1999-07-04,72.9375,47.75,0.01375,8.3125,29.7,178.25
513,244224,249019,W-220416,FED,DOI-WFMI,NPS,USCAYNP,Yosemite National Park,CAYNP,Yosemite National Park,NORTH PARK COMPLEX,1999,1999-08-10,222,846.0,Natural,Natural,11705.4,G,37.9308,-119.6149,NPS,CA,,,,1999-08-03,73.55,51.387499999999996,0.102875,7.1125,28.775,214.625
514,283611,289084,W-466172,FED,DOI-WFMI,BIA,USCASCA,Southern California Agency,CASCA,Southern California Agency,,2001,2001-01-03,3,500.0,Human,Smoking,10353.0,G,32.7792,-116.8342,BIA,CA,,,,2000-12-27,73.6875,47.375,0.0,7.2625,17.3125,53.0
515,283714,289196,W-466332,FED,DOI-WFMI,BIA,USCASCA,Southern California Agency,CASCA,Southern California Agency,,2002,2002-08-11,223,1628.0,Human,Missing data/not specified/undetermined,2620.0,F,33.9508,-116.8845,BIA,CA,,,,2002-08-04,92.1875,65.6375,0.0,7.0125,20.7625,216.0
516,284075,289569,W-545286,FED,DOI-WFMI,BIA,USCATIA,Tule River Fire Department,CATIA,Tule River Agency,,2007,2007-07-06,187,45.0,Human,Arson/incendiarism,1005.0,F,36.04781,-118.77969,BIA,CA,,,,2007-06-29,89.775,62.2625,0.0,7.0,23.5875,312.5
517,309283,315474,W-562541,FED,DOI-WFMI,BLM,USCACND,Central California District,CABBD,Bakersfield District,,2000,2000-07-02,184,1637.0,Human,Arson/incendiarism,2000.0,F,37.7173,-120.287369,PRIVATE,CA,Mariposa,6043.0,Mariposa County,2000-06-25,90.225,63.35,0.0,7.5125,19.675,305.25
518,309364,315556,W-97304,FED,DOI-WFMI,BLM,USCACND,Central California District,CABBD,Bakersfield District,,2000,2000-07-22,204,1200.0,Human,Equipment and vehicle use,6762.0,G,35.15,-119.601,BLM,CA,Kern,6029.0,Kern County,2000-07-15,87.1375,65.6375,0.0,7.65,22.275,132.375
519,309408,315603,W-97443,FED,DOI-WFMI,BLM,USCACND,Central California District,CABBD,Bakersfield District,GOLDEN COMPLEX,2000,2000-08-01,214,1500.0,Natural,Natural,2150.0,F,38.5444,-119.5029,BLM,CA,Mono,6051.0,Mono County,2000-07-25,91.7625,57.025,0.0,9.025,24.7625,258.625
520,309419,315615,W-98433,FED,DOI-WFMI,BLM,USCACND,Central California District,CABBD,Bakersfield District,,2000,2000-08-03,216,1020.0,Human,Equipment and vehicle use,1860.0,F,40.2582,-120.7594,PRIVATE,CA,,,,2000-07-27,91.2,60.4375,0.007875,9.4125,29.3625,237.0
521,309506,315702,W-98384,FED,DOI-WFMI,BLM,USCACND,Central California District,CABBD,Bakersfield District,,2000,2000-08-27,240,1400.0,Human,Missing data/not specified/undetermined,8600.0,G,37.6166,-120.2177,BLM,CA,Mariposa,6043.0,Mariposa County,2000-08-20,88.55,61.8125,0.0,6.95,20.075,291.875
522,310009,316227,W-103810,FED,DOI-WFMI,BLM,USCACND,Central California District,CABBD,Bakersfield District,,2001,2001-08-18,230,1200.0,Human,Equipment and vehicle use,6800.0,G,38.2252,-120.6805,PRIVATE,CA,,,,2001-08-11,90.925,58.975,0.0,6.9875,18.475,282.75
523,310010,316228,W-103806,FED,DOI-WFMI,BLM,USCACND,Central California District,CABBD,Bakersfield District,,2001,2001-08-18,230,1200.0,Human,Arson/incendiarism,11185.0,G,37.7463,-120.2513,BLM,CA,,,,2001-08-11,91.7875,62.125,0.0,7.4,19.8625,302.375
524,310030,316249,W-103798,FED,DOI-WFMI,BLM,USCACND,Central California District,CABBD,Bakersfield District,,2001,2001-08-27,239,1230.0,Human,Equipment and vehicle use,2688.0,F,39.0632,-120.8266,PRIVATE,CA,,,,2001-08-20,84.725,57.4125,0.0,7.9,24.4625,219.0
525,310297,316521,W-108444,FED,DOI-WFMI,BLM,USCACND,Central California District,CABBD,Bakersfield District,,2002,2002-06-09,160,120.0,Human,Power generation/transmission/distribution,1100.0,F,39.2296,-121.3075,PRIVATE,CA,,,,2002-06-02,94.025,62.475,0.0,10.9125,24.8,278.0
526,310329,316559,W-108450,FED,DOI-WFMI,BLM,USCACND,Central California District,CABBD,Bakersfield District,,2002,2002-06-15,166,1256.0,Human,Recreation and ceremony,3416.0,F,35.5947,-118.5284,USFS,CA,,,,2002-06-08,90.3375,62.55,0.0,6.0125,18.9,275.75
527,310403,316635,W-112990,FED,DOI-WFMI,BLM,USCACND,Central California District,CABBD,Bakersfield District,GATE COMPLEX,2002,2002-07-13,194,1330.0,Natural,Natural,8600.0,G,38.6471,-119.5982,BLM,CA,Mono,6051.0,Mono County,2002-07-06,86.2625,55.1625,0.009875,8.775,27.75,152.25
528,310419,316651,W-565426,FED,DOI-WFMI,BLM,USCACND,Central California District,CABBD,Bakersfield District,,2002,2002-07-18,199,1623.0,Human,Arson/incendiarism,1380.0,F,35.432661,-120.549619,PRIVATE,CA,San Luis Obispo,6079.0,San Luis Obispo County,2002-07-11,85.5875,63.7375,0.0,8.25,21.0125,228.75
529,310426,316660,W-110222,FED,DOI-WFMI,BLM,USCACND,Central California District,CABBD,Bakersfield District,,2002,2002-07-21,202,1300.0,Human,Misuse of fire by a minor,1800.0,F,35.5947,-118.4926,PRIVATE,CA,,,,2002-07-14,95.7375,74.5,0.0015,6.45,21.1375,296.125
530,310606,316842,W-565324,FED,DOI-WFMI,BLM,USCACND,Central California District,CABBD,Bakersfield District,,2002,2002-09-23,266,1350.0,Human,Equipment and vehicle use,3127.0,F,37.091,-121.774939,PRIVATE,CA,Santa Clara,6085.0,Santa Clara County,2002-09-16,78.6375,57.4,0.0,7.1000000000000005,18.9875,261.25
531,310793,317033,W-565865,FED,DOI-WFMI,BLM,USCACND,Central California District,CABBD,Bakersfield District,,2003,2003-06-16,167,2210.0,Human,Missing data/not specified/undetermined,1223.0,F,35.305144,-118.666681,PRIVATE,CA,Kern,6029.0,Kern County,2003-06-09,81.9125,60.15,0.0,6.2375,17.625,328.875
532,310937,317187,W-116231,FED,DOI-WFMI,BLM,USCACND,Central California District,CABBD,Bakersfield District,,2003,2003-07-20,201,1008.0,Natural,Natural,5018.0,G,37.4497,-121.4174,BLM,CA,,,,2003-07-13,93.9875,62.525,0.0,6.525,18.625,262.125
533,310952,317204,W-116239,FED,DOI-WFMI,BLM,USCACND,Central California District,CABBD,Bakersfield District,,2003,2003-07-23,204,1810.0,Human,Arson/incendiarism,1117.0,F,35.4327,-118.4226,PRIVATE,CA,,,,2003-07-16,87.5375,64.425,0.032125,7.15,24.2375,244.125
534,311010,317263,W-566603,FED,DOI-WFMI,BLM,USCACND,Central California District,CABBD,Bakersfield District,,2003,2003-08-10,222,1210.0,Human,Equipment and vehicle use,1500.0,F,35.114119,-120.000881,USFS,CA,San Luis Obispo,6079.0,San Luis Obispo County,2003-08-03,85.8875,62.0875,0.0,6.5625,21.4,156.25
